danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.593,0.642,-7.284,0.0299,0.313,0.000582,0.0804,0.736,76.403,5TAf4lnZCZTLlZHNZMLFLi,239440
0.546,0.895,-7.189,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,6W2VbtvMrDXm5vYeB7amkO,220707
0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,7LcfRTgAVTs5pQGEQgUEzN,201160
0.808,0.786,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,0hrBpAOgrt8RXigk83LLNE,191240
0.686,0.783,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978,2i0AUcEnsDm3dsqLrFWUCq,200467
0.747,0.663,-9.415,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,2AVkArcfALVk2X8sfPRzya,216907
0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907
0.59,0.338,-13.101,0.03,0.292,0.0131,0.121,0.322,110.581,5BUq9bdtsm3LWw5laJeJ4R,185360
0.633,0.976,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,5YJtMNWKe55yr49cyJgxva,197124
0.746,0.79,-4.7,0.0257,0.0485,0.0261,0.0534,0.891,107.231,46RVKt5Edm1zl0rXhPJZxz,220867
0.979,0.792,-2.784,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,3XVozq1aeqsJwpXrEZrDJ9,254467
0.831,0.735,-6.254,0.0384,0.00397,0.0205,0.123,0.97,122.979,5EYdTPdJD74r9EVZBztqGG,260507
0.622,0.829,-5.548,0.029,0.11,0.0,0.0954,0.539,110.367,1uzWOoJdADfstQuFtQFTUn,257373
0.851,0.551,-5.177,0.0396,0.151,0.0,0.0827,0.807,131.922,66S14BkJDxgkYxLl5DCqOz,219467
0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,005lwxGU1tms6HGELIcUv9,179640
0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,7mnGQesk1TzQLzQ9bYWZPR,224693
0.757,0.757,-7.598,0.0389,0.235,0.0,0.0474,0.967,124.956,4FUfoWMypAyWbOavmYyeNu,218867
0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,6ihL9TjfRjadfEePzXXyVF,213107
0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,0weAUscowxeqDtpCgtbpgp,227933
